image,tile,rel_y,label,note
IMG_0327.JPG,IMG_0327_x1121_y784.jpg,0.00,infested,Tip curl and necrotic terminals against sky
IMG_0327.JPG,IMG_0327_x1889_y784.jpg,0.00,infested,Curled flush plus bronzing/spots on a lower leaf
IMG_0327.JPG,IMG_0327_x1889_y3945.jpg,0.86,not_vegetation,White tube and mulch only
IMG_0329.JPG,IMG_0329_x1303_y1088.jpg,0.00,infested,Cupped terminals and rust-brown patches
IMG_0329.JPG,IMG_0329_x1687_y1088.jpg,0.00,infested,Twisted tip growth and brown necrotic spots
IMG_0331.JPG,IMG_0331_x1603_y1644.jpg,0.13,infested,Upper flush cupped and crinkled
IMG_0331.JPG,IMG_0331_x1603_y2028.jpg,0.26,skip,Mostly flat green; some tip curl at the top of the tile
IMG_0331.JPG,IMG_0331_x1987_y2028.jpg,0.26,infested,Curl plus dark margin spots on a single stem
IMG_0331.JPG,IMG_0331_x1603_y3746.jpg,0.83,not_vegetation,Grow tube and mulch
IMG_0350.JPG,IMG_0350_x2290_y1171.jpg,0.12,skip,One silvered/cupped leaf next to healthy ones
IMG_0350.JPG,IMG_0350_x1522_y3422.jpg,0.84,not_vegetation,Tube and plant tag 26
IMG_0358.JPG,IMG_0358_x1499_y1806.jpg,0.15,skip,Lime new flush with some crinkle — could be phenology
IMG_0358.JPG,IMG_0358_x1883_y1806.jpg,0.15,skip,Dense green; young tips curled but not a clean call
IMG_0359.JPG,IMG_0359_x2253_y1398.jpg,0.00,skip,Soft focus plus yellow-green flush
